frecuencia_Hz,amplitud_FFT_V
33680.0,0.03512729278123368
33720.0,0.030396872412754124
33760.0,0.07521381207119196
33800.0,0.04621834952446469
33840.0,0.01054287452270304
33880.0,0.07507636648964237
33920.0,0.08998427377089799
33960.0,0.04947646508190935
34000.0,0.022653715991266764
34040.0,0.04699458554506062
34080.0,0.015005395054343486
34120.0,0.0642067128727062
34160.0,0.03971978916676736
34200.0,0.03697735821986058
34240.0,0.021459497411847273
34280.0,0.019346391987647333
34320.0,0.03772887251445914
34360.0,0.013188394943181473
34400.0,0.04147147558546301
34440.0,0.05300083145600502
34480.0,0.02016043560565774
34520.0,0.03198371141127414
34560.0,0.08012395065232689
34600.0,0.0429363917091632
34640.0,0.05681766211240626
34680.0,0.012047315163645232
34720.0,0.07222428830458617
34760.0,0.010481100640597716
34800.0,0.052827515038102
34840.0,0.013521735779514012
